Time (ms),Pitch (Hz),Clarity
1760,1925.1307,0.21875
1770,3537.8164,0.273743033
1780,1779.0497,0.212598383
1790,3634.9097,0.294900179
1800,3929.8215,0.22983259
1810,304.51126,0.265946686
1820,473.1049,0.15017879
1830,356.23715,0.23906374
1840,6465.2046,0.227272689
1850,221.87468,0.254216135
1860,220.51195,0.212065279
1870,2174.3833,0.236111104
1880,4436.704,0.159347534
1890,4891.6895,0.211155355
1900,7397.344,0.163538873
1910,2294.539,0.26401633
1920,473.56827,0.230656922
1930,2481.1177,0.222222149
1940,7372.4497,0.35211271
1950,4880.206,0.24850893
1960,877.83075,0.253990293
1970,935.9472,0.23169136
1980,2956.4602,0.235241532
1990,272.00244,0.21402216
2000,1265.9253,0.202670872
2010,610.7903,0.203463197
2020,2427.9094,0.205882311
2030,256.4586,0.166881084
2040,691.0977,0.228915632
2050,1463.8228,0.203354299
2060,2591.3987,0.25
2070,229.69267,0.256174326
2080,851.15375,0.204545438
2090,317.5087,0.204690158
2100,785.9851,0.227805078
2110,235.44275,0.254143
2120,1291.6923,0.204130828
2130,2588.6594,0.251321197
2140,4830.912,0.227146864
2150,2918.3232,0.217830122
2160,2593.5918,0.361640632
2170,1262.44,0.340120673
2180,2474.7544,0.360655725
2190,2435.4287,0.391366899
2200,2875.475,0.40459609
2210,2444.4194,0.361111104
2220,2416.6257,0.34677422
2230,2980.9734,0.222222209
2240,2236.3806,0.223659873
2250,2714.475,0.28304702
2260,2358.0234,0.213085234
2270,2412.8706,0.273931384
2280,2329.226,0.259740233
2290,2629.0105,0.292142391
2300,236.46852,0.203175843
2310,366.02023,0.223928869
2320,791.24664,0.202692211
2330,1303.7571,0.245218575
2340,865.3698,0.238476515
2350,559.9612,0.206091523
2360,1167.7673,0.26696521
2370,1196.0326,0.384494662
2380,607.8639,0.208853781
2390,314.5797,0.218411744
2400,2472.1316,0.228571415
2410,2581.8774,0.204433501
2420,493.58154,0.263001025
2430,603.2801,0.210444987
2440,611.9412,0.162384868
2450,2336.926,0.23105222
2460,932.24976,0.191239715
2470,2581.412,0.304026842
2480,817.6244,0.204850614
2490,1079.8577,0.206625164
2500,868.2449,0.212205589
2510,324.0359,0.231638432
2520,273.7579,0.236104846
2530,445.36432,0.19851768
2540,223.1138,0.20722115
2550,510.75632,0.254274547
2560,595.51654,0.25122124
2570,612.39154,0.224289894
2580,245.89339,0.212902784
2590,5546.069,0.230240524
2600,877.35004,0.249374509
2610,491.87875,0.193641663
2620,1491.46,0.191685915
2630,1611.9854,0.200524747
2640,2519.9312,0.308659196
2650,341.4469,0.208040416
2660,678.701,0.126163423
2670,350.5083,0.200845659
2680,287.4149,0.29372704
2690,2381.6462,0.217768133
2700,1345.7731,0.191315591
2710,602.6832,0.227462769
2720,2886.8887,0.295716643
2730,1096.7109,0.254050732
2740,1558.3816,0.129451692
2750,440.48077,0.213106275
2760,530.0649,0.35756886
2770,245.3896,0.215442121
2780,919.1105,0.242166638
2790,264.67657,0.238129556
2800,765.3836,0.202940226
2810,363.34146,0.251455605
2820,4618.111,0.224137962
2830,4717.8467,0.292504609
2840,741.416,0.102130532
2850,915.3161,0.285053909
2860,443.25748,0.217573225
2870,382.97556,0.259619713
2880,904.3859,0.254263937
2890,2549.575,0.22384274
2900,598.79425,0.25594151
2910,1138.5647,0.204081595
2920,262.00604,0.316915989
2930,11275.582,0.227467835
2940,2535.9268,0.271056652
2950,688.0808,0.239436626
2960,645.44775,0.223564446
2970,2170.975,0.233983278
2980,922.3135,0.206611574
2990,250.63063,0.187232614
3000,545.71313,0.194084823
3010,845.96295,0.200173318
3020,212.0259,0.228539348
3030,252.1859,0.206891596
3040,846.26105,0.215170264
3050,1848.7306,0.206798851
3060,644.4525,0.222329915
3070,533.44543,0.182478011
3080,264.4386,0.245907784
3090,209.85675,0.202135861
3100,1291.3511,0.20671308
3110,1180.4493,0.199265003
3120,2606.9697,0.255154669
3130,1245.518,0.20287317
3140,292.55347,0.274818301
3150,1192.6649,0.338177741
3160,5482.5234,0.206185579
3170,810.1088,0.201507688
3180,1317.7247,0.188430905
3190,267.01627,0.22573477
3200,1715.9742,0.265060246
3210,707.0498,0.243649721
3220,1641.8245,0.22709924
3230,209.05214,0.256512046
3240,398.34726,0.19014591
3250,1448.3419,0.243614912
3260,773.74255,0.218106985
3270,1520.3962,0.247505009
3280,9300.565,0.405797064
3290,1111.9083,0.265477419
3300,454.6597,0.174289465
3310,7497.827,0.232954502
3320,277.91946,0.183568656
3330,2320.6306,0.200147748
3340,2325.6064,0.339950383
3350,2323.623,0.328282833
3360,1626.4646,0.310168624
3370,295.93604,0.228960514
3380,229.99376,0.156803429
3390,519.0111,0.218050718
3400,671.9175,0.203656256
3410,733.6465,0.207001269
3420,639.2992,0.29300946
3430,1002.82916,0.157828689
3440,790.4959,0.223784685
3450,1081.2568,0.199999988
3460,318.93576,0.22532171
3470,1639.0371,0.21131134
3480,504.82996,0.240858734
3490,270.63712,0.207740784
3500,272.02042,0.279799938
3510,291.83737,0.264553547
3520,1052.2219,0.158227861
3530,790.81226,0.37340939
3540,463.45102,0.228280306
3550,2590.7783,0.224066377
3560,364.37366,0.280363083
3570,368.865,0.191278517
3580,415.9036,0.201085329
3590,338.48245,0.202977896
3600,639.9715,0.20916903
3610,3344.7878,0.256410241
3620,955.3804,0.237869859
3630,722.78406,0.244225085
3640,556.6174,0.230191708
3650,4298.1733,0.282700419
3660,735.5818,0.293691516
3670,1840.8561,0.219666958
3680,313.275,0.218930602
3690,6138.0513,0.304740369
3700,7368.425,0.254368961
3710,997.01465,0.235470355
3720,834.4661,0.266818225
3730,318.55045,0.273997426
3740,10041.207,0.298578143
3750,201.36986,0.101510584
3760,3992.0144,0.210526288
3770,512.35333,0.226896763
3780,278.97815,0.201779544
3790,698.9165,0.149742901
3800,1215.8552,0.222462177
3810,669.41675,0.276712358
3820,941.8218,0.196697593
3830,621.71185,0.285594523
3840,682.6742,0.288376391
3850,279.1247,0.250758708
3860,958.96765,0.201340258
3870,2804.389,0.223021567
3880,2605.462,0.252914786
3890,4968.152,0.238900602
3900,752.8591,0.23599869
3910,2634.0652,0.347629786
3920,555.07916,0.262854815
3930,1134.524,0.200604856
3940,237.10257,0.209666729
3950,1190.7069,0.244627476
3960,3316.9985,0.201637685
3970,457.12143,0.224265158
3980,279.30972,0.233988285
3990,219.31174,0.270844281
4000,221.43488,0.216975808
4010,4484.2046,0.216589808
4020,362.38675,0.22465837
4030,272.2428,0.129457772
4040,1298.0343,0.200972438
4050,209.5258,0.140819371
4060,209.60745,0.195985079
4070,345.58328,0.209007025
4080,2166.2158,0.22445935
4090,1008.08594,0.276008546
4100,284.6144,0.245206475
4110,257.6744,0.264105856
4120,518.6603,0.221522629
4130,500.01874,0.208672047
4140,1118.969,0.221975923
4150,233.9621,0.237543464
4160,310.5764,0.25519985
4170,570.7129,0.06873858
4180,277.27936,0.24188298
4190,1182.7103,0.183741331
4200,7793.474,0.183879077
4210,1054.389,0.122033894
4220,954.7111,0.217537165
4230,282.70993,0.208704889
4240,308.5594,0.201054454
4250,1030.2222,0.195617318
4260,763.90894,0.211078346
4270,3748.3323,0.215165913
4280,7373.8086,0.135999978
4290,343.88956,0.204047203
4300,4838.0586,0.218934894
4310,804.4762,0.212338209
4320,2604.2822,0.292422652
4330,707.97955,0.290704787
4340,516.48584,0.222442448
4350,398.58127,0.298865378
4360,717.47754,0.232441127
4370,302.64868,0.196020961
4380,211.33327,0.189478934
4390,236.72023,0.216049075
4400,604.8939,0.189039052
4410,523.3104,0.17783463
4420,238.72194,0.191752911
4430,370.47742,0.212236702
4440,761.65906,0.230583727
4450,336.0347,0.200560749
4460,444.05536,0.187373281
4470,573.7452,0.209509671
4480,241.28813,0.23042804
4490,786.11865,0.257663608
4500,742.94165,0.20707339
4510,234.29085,0.269925416
4520,211.81836,0.125083029
4530,348.05124,0.211707413
4540,230.89355,0.242294788
4550,1257.754,0.221028388
4560,752.9986,0.419471741
4570,717.63635,0.211995363
4580,1028.5709,0.299427569
4590,1031.1442,0.263580441
4600,341.88464,0.23989898
4610,201.36986,0.13532722
4620,840.51135,0.231200576
4630,898.0393,0.459290206
4640,631.8348,0.244009435
4650,684.9537,0.292434394
4660,2308.3093,0.340747356
4670,917.26324,0.181301296
4680,251.90129,0.180915117
4690,317.79666,0.200328767
4700,295.785,0.212443471
4710,11179.933,0.234972715
4720,221.48865,0.186856985
4730,1783.4719,0.223497629
4740,734.876,0.228556931
4750,1649.4233,0.271651685
4760,291.30563,0.308771372
4770,956.5622,0.234005272
4780,319.21878,0.300926924
4790,962.14557,0.223050177
4800,292.48087,0.3090927
4810,2452.0234,0.328947365
4820,1162.1453,0.249326527
4830,354.71213,0.225387275
4840,1250.9309,0.265220404
4850,1091.7754,0.274999976
4860,1850.5425,0.223719716
4870,1069.757,0.232467175
4880,613.02454,0.214119852
4890,848.5845,0.245843649
4900,1097.6885,0.172209918
4910,933.5052,0.230449617
4920,2213.7034,0.230408251
4930,479.22156,0.155269325
4940,4063.9973,0.202752292
4950,3690.6914,0.275280893
4960,2438.297,0.185039401
4970,711.1502,0.147912741
4980,975.43146,0.225165606
4990,2317.0967,0.221052587
5000,2442.5989,0.336300015
5010,330.38046,0.255319178
5020,392.0459,0.240190685
5030,543.0396,0.267131388
5040,735.2379,0.247446716
5050,271.40567,0.282364607
5060,305.64697,0.213739693
5070,222.2085,0.249621034
5080,2630.3264,0.274557173
5090,367.01642,0.202881157
5100,361.97998,0.249972582
5110,839.13416,0.214950085
5120,336.9102,0.245416164
5130,381.46817,0.175734401
5140,746.2772,0.219367206
5150,833.7895,0.256513059
5160,5524.3716,0.221238971
5170,10639.439,0.217391312
5180,1074.5266,0.171602547
5190,6739.694,0.234567881
5200,1333.9053,0.245714307
5210,919.4547,0.246499777
5220,904.75806,0.200343549
5230,847.2403,0.168391347
5240,373.06317,0.241580248
5250,282.34116,0.27018714
5260,953.72473,0.22893697
5270,347.0827,0.201863706
5280,430.30154,0.206150353
5290,243.17387,0.206736803
5300,329.07748,0.235511005
5310,2581.2124,0.205607474
5320,6176.064,0.278970003
5330,541.19464,0.239629626
5340,2338.3276,0.23146069
5350,1004.483,0.289906085
5360,882.2265,0.133261144
5370,504.6206,0.21280849
5380,1054.6024,0.203389823
5390,519.2192,0.214488029
5400,813.4356,0.249834657
5410,247.42212,0.403700948
5420,927.49066,0.416323185
5430,4264.55,0.245714307
5440,734.4178,0.202007532
5450,6282.155,0.266666651
5460,350.60788,0.280821919
5470,303.26984,0.228723407
5480,286.73056,0.189547241
5490,3943.9475,0.293577969
5500,2010.1133,0.209580839
5510,828.6947,0.245730519
5520,328.04752,0.208590627
5530,5260.213,0.292517006
5540,316.30194,0.312381804
5550,283.71182,0.241387963
5560,310.70514,0.279187858
5570,275.14304,0.201447368
5580,5375.7783,0.219512224
5590,237.16203,0.339128196
5600,273.29953,0.253962398
5610,874.49866,0.255846858
5620,280.21014,0.229459524
5630,296.12863,0.204148173
5640,287.3381,0.206014752
5650,295.8782,0.445332944
5660,302.70383,0.261719286
5670,1029.714,0.268910468
5680,288.26862,0.2258991
5690,328.92316,0.223219216
5700,318.2844,0.252939224
5710,333.2999,0.210747063
5720,364.69153,0.176248133
5730,4895.496,0.333333313
5740,5326.0117,0.212851405
5750,240.77422,0.229388297
5760,280.32904,0.212984443
5770,282.26172,0.228284597
5780,254.74936,0.217666626
5790,285.50644,0.207644224
5800,311.24603,0.218385875
5810,917.6385,0.247154057
5820,524.8318,0.264890313
5830,244.52007,0.219485223
5840,321.55536,0.239004731
5850,247.53102,0.2383973
5860,3083.044,0.123882532
5870,4755.7383,0.228915691
5880,15475.254,0.192307711
5890,1243.8641,0.20091325
5900,784.3152,0.240677953
5910,3804.881,0.323149264
5920,877.63196,0.262579501
5930,249.4618,0.215906799
5940,721.8479,0.242572069
5950,263.89447,0.280172408
5960,264.103,0.199210167
5970,251.81566,0.245019674
5980,2621.5334,0.230656922
5990,285.45786,0.188023686
6000,939.5058,0.192321777
6010,2161.6335,0.201596856
6020,310.04718,0.224759698
6030,269.76324,0.267444611
6040,361.54178,0.201962411
6050,452.97482,0.223717749
6060,223.31714,0.23902142
6070,866.7026,0.276937664
6080,203.07195,0.194684088
6090,201.36986,0.223266542
6100,273.43976,0.213136196
6110,4414.074,0.356321812
6120,775.17004,0.129645646
6130,463.78064,0.205796301
6140,282.6347,0.299713433
6150,272.25327,0.294754684
6160,405.2875,0.221007049
6170,243.65868,0.224410772
6180,204.06577,0.254266977
6190,320.77646,0.225988686
6200,701.2506,0.323863626
6210,548.6717,0.228093743
6220,262.5656,0.211705029
6230,251.623,0.231925845
6240,414.1839,0.266104758
6250,365.45477,0.228102565
6260,876.8309,0.207552373
6270,370.4998,0.227469444
6280,508.11417,0.227777779
6290,412.9002,0.250470877
6300,307.47098,0.296556592
6310,201.36986,0.135954678
6320,286.05252,0.293396294
6330,3789.6423,0.209348917
6340,1855.3318,0.212891936
6350,3705.5972,0.262684405
6360,11149.557,0.237448096
6370,10769.621,0.371335924
6380,10461.936,0.235816419
6390,10647.285,0.307011664
6400,3675.6604,0.26933223
6410,2304.587,0.285575807
6420,1882.2107,0.218815148
6430,4661.0938,0.230873525
6440,984.82623,0.291896284
6450,3747.1428,0.258606851
6460,3757.5203,0.397253811
6470,778.16364,0.222369075
6480,1246.8287,0.357266963
6490,1947.7291,0.247465491
6500,2600.406,0.269613087
6510,4367.6064,0.292099416
6520,4779.936,0.359226584
6530,4092.7358,0.360182106
6540,3857.4736,0.259284019
6550,4664.9956,0.261157632
6560,5234.869,0.367135823
6570,3791.754,0.328928828
6580,5137.855,0.386073768
6590,3851.7039,0.267550707
6600,5295.8604,0.402173936
6610,4262.387,0.334548056
6620,3588.8992,0.279833198
6630,4222.849,0.268854737
6640,1717.6265,0.334764302
6650,1831.8857,0.237657607
6660,5298.8384,0.31471777
6670,5458.363,0.217382789
6680,5034.4844,0.242861271
6690,3677.2014,0.267391264
6700,1867.1406,0.206597388
6710,2690.0735,0.225328505
6720,4853.8145,0.445434332
6730,5399.7427,0.318471313
6740,3756.2717,0.395094752
6750,5678.1025,0.259184241
6760,1051.1228,0.527330399
6770,1244.0955,0.264023542
6780,1186.3075,0.298683524
6790,1265.0312,0.276695728
6800,1857.8574,0.240256488
6810,1369.1324,0.236587942
6820,203.80551,0.219991982
6830,249.5853,0.244324684
6840,212.91669,0.230747759
6850,1953.6653,0.254249513
6860,10271.627,0.431131542
6870,5222.0464,0.268152773
6880,5786.854,0.278541505
6890,6037.762,0.363210976
6900,10508.389,0.27599901
6910,10915.692,0.570911646
6920,11074.4795,0.261542022
6930,11460.474,0.396052539
6940,10822.862,0.299500465
6950,3506.886,0.209532738
6960,5553.739,0.238248348
6970,262.1619,0.844092011
6980,9932.104,0.206518829
6990,10406.359,0.202344477
7000,501.82028,0.696460366
7010,521.9216,0.744314671
7020,489.98468,0.805672824
7030,498.33893,0.783601522
7040,496.41547,0.76930052
7050,516.3867,0.695389032
7060,495.58084,0.750429332
7070,510.61798,0.744553566
7080,493.4157,0.781380773
7090,501.60648,0.692512572
7100,487.91214,0.504385114
7110,519.52765,0.583361328
7120,516.1678,0.72280097
7130,539.0512,0.494904101
7140,550.3855,0.570392966
7150,534.68146,0.54767096
7160,550.9773,0.476417482
7170,562.13257,0.41665858
7180,639.7523,0.22375685
7190,581.2898,0.417736411
7200,848.10394,0.208516717
7210,276.6563,0.971450031
7220,783.69434,0.203479767
7230,751.36224,0.424039364
7240,759.7979,0.45149219
7250,436.41373,0.266039908
7260,814.2199,0.567478299
7270,815.20404,0.780162811
7280,820.35596,0.545392752
7290,874.0028,0.494136274
7300,811.98975,0.440835178
7310,774.231,0.509293318
7320,728.51587,0.516616464
7330,748.16095,0.215208709
7340,751.1761,0.320863068
7350,846.27057,0.240453303
7360,790.35547,0.267557979
7370,802.3841,0.217653036
7380,506.0073,0.699798226
7390,933.278,0.33128804
7400,1252.8574,0.361543596
7410,260.20218,0.638939679
7420,634.5485,0.409459472
7430,1103.1577,0.296530247
7440,1024.2886,0.629345238
7450,966.9106,0.543316483
7460,983.21655,0.53071785
7470,991.1211,0.517170668
7480,978.8165,0.438094854
7490,1013.56946,0.341831982
7500,1002.24677,0.412011862
7510,304.09415,0.335317791
7520,300.2246,0.429978549
7530,305.6451,0.213797152
7540,305.8309,0.289338708
7550,303.7437,0.324003339
7560,234.42897,0.964725316
7570,235.79292,0.969374359
7580,331.1638,0.255810499
7590,234.59856,0.969010174
7600,232.738,0.96939683
7610,228.49739,0.98097074
7620,231.82309,0.990303636
7630,231.19617,0.994927585
7640,230.85976,0.995618045
7650,230.13277,0.992988527
7660,230.69232,0.98888284
7670,231.7147,0.976838768
7680,233.54643,0.961062133
7690,231.23204,0.952761114
7700,232.76031,0.960561574
7710,291.9286,0.247413337
7720,231.5667,0.810332417
7730,230.10527,0.462603152
7740,10516.757,0.395885289
7750,10236.908,0.454750121
7760,11221.318,0.370855808
7770,11064.162,0.398956895
7780,11167.03,0.284331858
7790,10871.496,0.34525305
7800,11080.367,0.236468315
7810,11144.247,0.352128565
7820,11276.98,0.370091081
7830,10702.39,0.328658164
7840,9887.938,0.382642388
7850,11225.947,0.448713124
7860,10794.147,0.511464238
7870,11204.112,0.309476912
7880,11507.437,0.469419241
7890,11576.757,0.322517157
7900,233.75507,0.73266238
7910,234.83733,0.325523555
7920,221.51163,0.949675202
7930,321.55655,0.314952314
7940,722.16016,0.260761499
7950,291.0125,0.270810544
7960,285.16168,0.290999949
7970,285.44583,0.312615097
7980,271.76602,0.223078549
7990,282.70255,0.281189084
8000,234.22258,0.210341811
8010,249.59502,0.295565605
8020,254.23799,0.232113957
8030,258.69128,0.264703691
8040,277.079,0.23385042
8050,265.78705,0.302684128
8060,263.3174,0.319949448
8070,263.12225,0.282301188
8080,206.27396,0.97866255
8090,272.1161,0.208724439
8100,207.51688,0.983047724
8110,208.61473,0.986615241
8120,208.03836,0.986420691
8130,271.96545,0.239531636
8140,267.1249,0.326811492
8150,264.90887,0.287348151
8160,255.93881,0.258963764
8170,248.56303,0.366112053
8180,256.46924,0.332632482
8190,207.22795,0.992308438
8200,207.40024,0.988275051
8210,208.5647,0.992922544
8220,209.0192,0.992337167
8230,207.03815,0.991143346
8240,207.41628,0.99215734
8250,207.74796,0.992436528
8260,208.5263,0.995667279
8270,206.6734,0.99652487
8280,205.6132,0.995545685
8290,208.51797,0.995180964
8300,208.20476,0.99385339
8310,206.12236,0.996459961
8320,202.3446,0.995973587
8330,201.36986,0.990924537
8340,202.56839,0.902301729
8350,310.30423,0.440578222
8360,201.36986,0.902501822
8370,201.36986,0.623866081
8380,203.7559,0.628962874
8390,9767.394,0.628842354
8400,10174.456,0.567183614
8410,10691.054,0.402375102
8420,11145.8545,0.232806027
8430,10944.748,0.567651451
8440,10808.915,0.515788794
8450,11431.738,0.442781746
8460,11473.319,0.219810903
8470,201.36986,0.538295507
8480,201.36986,0.70006454
8490,11055.489,0.305257201
8500,260.6634,0.275023222
8510,206.68242,0.933612823
8520,235.3168,0.605237365
8530,11773.148,0.319343507
8540,11203.193,0.568180919
8550,10290.827,0.219825745
8560,244.56601,0.210909009
8570,4149.537,0.242724419
8580,2989.432,0.405038893
8590,420.32028,0.301348805
8600,393.8721,0.640119433
8610,10398.167,0.239580333
8620,10391.203,0.241581321
8630,10540.249,0.258047283
8640,10809.788,0.311755896
8650,10751.723,0.528790951
8660,201.36986,0.673069239
8670,201.36986,0.486353397
8680,201.36986,0.744001389
8690,201.36986,0.789506674
8700,374.58514,0.678036749
8710,388.57126,0.796900988
8720,201.36986,0.836122274
8730,209.50935,0.84180069
8740,373.74554,0.210986912
8750,248.80325,0.21730113
8760,373.63983,0.53380841
8770,376.45953,0.33572787
8780,389.2244,0.521747351
8790,365.87872,0.540716588
8800,2226.1748,0.321601868
8810,2267.5332,0.421078384
8820,9012.609,0.27144587
8830,10340.726,0.251814902
8840,10380.222,0.2993204
8850,570.1968,0.89555043
8860,567.9894,0.888984263
8870,553.1015,0.872494936
8880,558.64374,0.712147951
8890,556.9401,0.564092636
8900,544.9227,0.436733365
8910,721.70374,0.297012806
8920,679.60077,0.469108462
8930,723.63696,0.330755651
8940,442.8204,0.341504753
8950,453.19962,0.228664517
8960,788.18823,0.385673761
8970,783.0801,0.516811252
8980,824.9496,0.430806339
8990,859.84436,0.315291584
9000,845.8174,0.427284956
9010,799.8615,0.449051261
9020,786.1593,0.548650563
9030,828.62164,0.511541307
9040,852.1495,0.596057773
9050,837.16266,0.68572557
9060,820.1506,0.665401936
9070,819.3451,0.590767264
9080,859.84625,0.602647662
9090,832.27734,0.730187654
9100,824.9229,0.74819988
9110,845.2312,0.556732774
9120,426.17007,0.402713776
9130,275.21848,0.931893229
9140,273.4506,0.737996101
9150,11099.819,0.311829805
9160,10659.377,0.359520733
9170,10891.691,0.378673494
9180,9512.3545,0.360108256
9190,10174.582,0.368685842
9200,10385.595,0.379323959
9210,580.2588,0.306589484
9220,10909.714,0.385639668
9230,10897.274,0.412306607
9240,10621.563,0.365395725
9250,11305.463,0.254997671
9260,10739.186,0.346200764
9270,10270.516,0.280134916
9280,10710.144,0.300185144
9290,281.86496,0.324790478
9300,236.8905,0.902989924
9310,333.05737,0.266942263
9320,328.46585,0.365747869
9330,321.26572,0.24429363
9340,316.9259,0.324963152
9350,315.77594,0.25657177
9360,233.74976,0.970810294
9370,320.137,0.233730674
9380,330.90897,0.264938474
9390,232.14424,0.971478939
9400,316.58273,0.229814053
9410,323.2484,0.256527007
9420,232.28577,0.969027758
9430,311.64478,0.277311146
9440,323.5111,0.239943802
9450,233.89319,0.970027804
9460,322.04752,0.20564729
9470,331.69022,0.262662292
9480,237.88173,0.970868886
9490,237.90468,0.965752006
9500,347.3007,0.242019773
9510,236.93718,0.947898448
9520,237.1269,0.955326259
9530,232.65567,0.95423162
9540,230.62167,0.982194781
9550,230.52646,0.98963511
9560,230.40768,0.991444647
9570,231.39883,0.99466759
9580,227.06189,0.957829118
9590,230.32362,0.84294796
9600,266.05072,0.335745215
9610,4695.118,0.232835412
9620,5693.4844,0.31429404
9630,6614.619,0.348148167
9640,6156.404,0.358472466
9650,5866.691,0.455716431
9660,5123.9907,0.35649091
9670,5530.2256,0.454256296
9680,5814.5425,0.392958879
9690,5902.6616,0.347930193
9700,6446.563,0.473833859
9710,6393.601,0.482010663
9720,6075.2676,0.37647754
9730,6956.0576,0.453819275
9740,7030.482,0.401440203
9750,6892.5337,0.398238659
9760,6909.9478,0.426145911
9770,6632.9756,0.310772836
9780,6874.651,0.276146412
9790,5951.429,0.452509105
9800,224.89296,0.382108152
9810,205.0495,0.866580129
9820,209.09865,0.952040672
9830,205.6635,0.959820151
9840,205.73189,0.953080893
9850,209.55672,0.962772548
9860,206.86734,0.964880228
9870,220.05576,0.801728487
9880,209.06291,0.950024307
9890,223.68695,0.853074968
9900,211.85101,0.975069404
9910,222.23967,0.915275097
9920,211.91676,0.961726904
9930,208.89847,0.975589752
9940,210.56624,0.91580385
9950,9195.147,0.559264064
9960,9090.047,0.795562863
9970,9160.633,0.789469182
9980,9467.643,0.70131588
9990,9763.184,0.640031338
10000,10169.499,0.646290183
10010,9781.021,0.597286105
10020,9462.498,0.689581037
10030,9053.317,0.466391742
10040,9404.891,0.251963258
10050,463.6549,0.670934677
10060,483.4692,0.743367672
10070,464.0321,0.370216846
10080,678.03766,0.206165075
10090,697.86597,0.409241319
10100,681.87006,0.385052323
10110,738.7499,0.483445466
10120,790.39746,0.440840781
10130,821.44147,0.245649338
10140,803.4454,0.503208518
10150,824.6572,0.39754194
10160,327.73395,0.369566202
10170,836.7766,0.453938603
10180,847.15375,0.411719441
10190,835.74713,0.33066535
10200,777.7005,0.57421124
10210,728.45056,0.629871368
10220,707.2382,0.768101811
10230,704.9273,0.55303514
10240,715.13574,0.392918348
10250,559.92523,0.359553277
10260,627.42035,0.378615022
10270,587.5392,0.251942873
10280,231.11557,0.907835662
10290,11548.527,0.2425493
10300,11398.087,0.514303029
10310,9290.04,0.298098981
10320,6791.812,0.477669358
10330,8596.282,0.544895172
10340,9240.586,0.506973922
10350,9231.699,0.643424213
10360,9986.223,0.647700191
10370,9792.29,0.516634226
